SensorID,Temperature (°C),TDS (ppm),Turbidity (NTU),pH Value,Dissolved Oxygen (mg/L),Electrical Conductivity (ms/cm)
250930120346389,25.12,230.31,26.69
250930120352309,25.12,232.09,26.69
250930120358128,25.12,227.74,26.4
250930120404377,25.12,216.58,26.76
250930120410780,25.12,219.23,26.54
250930120416666,25.12,218.53,26.76
250930120423336,25.12,230.27,26.62
250930120429278,25.12,222.78,26.62
250930120435393,25.12,233.75,26.54
250930120441616,25.19,223.84,26.76
250930120447068,25.19,223.41,26.69
250930120453083,25.19,234.24,26.84
250930120500275,25.19,229.38,26.76
250930142710541,24.56,224.54,25.0
250930142717401,24.56,225.29,25.29
250930142723314,24.56,233.8,24.93
250930160235195,24.56,223.05,26.03
250930160241462,24.56,225.37,26.03
250930160247712,24.56,236.88,25.81
250930160253488,24.56,231.33,26.03
250930160300672,24.56,229.86,25.96
250930160306442,24.56,235.07,25.96
250930160312792,24.56,229.27,25.88
250930160318764,24.56,226.27,25.96
250930160324026,24.56,222.66,25.96
250930160330307,24.56,224.67,26.03
250930160336824,24.56,231.0,26.03
250930160342181,24.56,229.73,26.1
250930160349892,24.56,220.64,26.03
250930160355567,24.56,227.26,25.88
250930160401199,24.56,233.06,25.74
250930160407025,24.56,226.4,25.74
250930160413938,24.56,236.38,25.81
250930160419636,24.56,234.32,25.74
250930160425414,24.56,220.95,25.66
250930160432148,24.56,231.63,25.74
250930160438373,24.56,227.83,25.88
